States ,Timeline ,Area ,Population ,Urbanisation ,Population density ,Gender ratio ,Child gender ratio ,Literacy rate ,NSVA at basic prices ,Share of agriculture  in NSVA ,Share of industry in  NSVA ,Share of services in  NSVA ,Per capita NSDP ,Gross cropped area ,Cropping intensity ,Average size of land  holding ,Road density ,Rail density ,Tele density ,Air passenger  traffic per million  population ,Port traffic ,Road accidents ,Electricity  generation ,Per capita energy  consumption ,Power deficit ,Factories in  operation ,Gross value of  output ,Projects completed ,New investment  projects ,State receipts ,State expenditure ,Gross fiscal deficit ,Gross fiscal  deficit/SDP ,Crime rate ,Conviction rate  (IPC) ,Conviction rate  (SLL) 
  ,  ,'000 hectares ,Numbers , Per cent ,Numbers per sq. km ,Numbers ,Numbers , Per cent ,Rs. million , Per cent , Per cent , Per cent ,Rupees ,'000 hectares , Per cent ,Hectares ,Kms/100 Sq. Kms ,Kms per '000 Sq. Kms , Per cent ,'000 nos/million ,'000 tonnes ,Numbers ,Million kwh ,Kwh/'000 nos , Per cent ,Numbers ,Rs. million ,Rs. million ,Rs. million ,Rs. million ,Rs. million ,Rs. million , Per cent ,Numbers/million , Per cent , Per cent 
  ,  ,2023-24 ,2010-11 ,2010-11 ,2010-11 ,2010-11 ,2010-11 ,2010-11 ,2024-25 ,2024-25 ,2024-25 ,2024-25 ,2025-26 ,2023-24 ,2023-24 ,2015-16 ,2019-20 ,2022-23 ,2024-25 ,2024-25 ,2024-25 ,2022-23 ,2024-25 ,2023-24 ,2017-18 ,2023-24 ,2023-24 ,2024-25 ,2024-25 ,2026-27 ,2026-27 ,2026-27 ,2024-25 ,2019-20 ,2019-20 ,2019-20 
Andhra Pradesh,Jun 14 -,16298,49386799,29.58,308.27,996,944,67.41,12998497.3,37.82,20.79,41.4,,5744,115.92,0.94,,24.4,,,,19949,76170.1,,-0.2,12305,6836233.2,262820.8,6762522.7,3321618.6,3322053.4,758681,4.32,2786,38.4,80.8
Assam,Jan 72 -,7845,31205576,14.1,397.84,958,962,72.19,5212547.9,22.43,36.07,41.5,,4122,149.56,1.09,,32.8,73.8,216.52,,7421,9193.9,287239.4,-3.4,5041,1279091.6,79478.7,1238725.8,,,,3.5,3858,6.7,11.9
Bihar,Dec 00 -,9417,104099452,11.3,1105.52,918,935,61.8,8690446.2,22.99,23.02,53.99,,7836,147.46,0.39,,41.3,,36.69,,11014,60757.8,348301.9,-1.5,2692,1315972.8,357903.2,1335950,,3475897.6,391118,2.93,2240,13.1,50.8
Chandigarh,Apr 70 -,11,1055450,97.25,9258.33,818,880,86.05,,,,,,1,100,1.22,,145.5,,1667.94,,182,,641421.1,-0.6,177,37659.1,4620,10055,,,,,3816,52.5,94.2
Chhattisgarh,Nov 00 -,13520,25545198,23.24,188.96,991,969,70.28,4657751.7,21.46,41.98,36.56,,5524,119.67,1.24,,8.8,,93.35,,13468,166850.8,1185058.2,-0.3,4921,3343617.1,50240.3,2541506.7,,,,3.77,3347,42.6,79.3
Goa,Jun 87 -,370,1458545,62.17,393.99,973,942,88.7,,,,,,145,114.17,1.1,,18.6,,3156.86,,2846,0,2078813.9,0,681,695417.4,38056.3,98198.8,,,,,2415,24.3,7.9
Gujarat,Apr 70 -,19624,60439692,42.6,307.98,919,890,78.03,,,,,,14861,151.27,1.88,,25.2,90.6,262.12,,16349,111757.4,1883964.8,0,26663,26394993.6,531138.2,3142489.2,4045587.6,4033740.5,655196.7,,6316,45.6,51.7
Haryana,Apr 70 -,4421,25351462,34.88,573.41,879,834,75.55,9398434.9,18.49,27.44,54.07,,6901,196.33,2.22,,39.4,87.4,0,,10463,30443.9,1820231.9,0,8180,11083306,188053.1,683343.1,,,,2.77,5774,26.2,64.2
Himachal Pradesh,Apr 70 -,5567,6864602,10.03,123.3,972,909,82.8,1744988.7,13.64,41.98,44.38,,875,169.57,0.95,,5.6,120.4,35.16,,2253,39386.3,1509417.7,-0.6,1980,1637094.1,38504.4,29218.3,,,,4.65,2724,22,63.3
Jammu & Kashmir,Nov 19 -,5462,12267013,27.48,290.41,892,860,67,1893566.2,21.11,19.36,59.53,,1126,152.57,,,,,,,,15200.7,796465.7,,,,38476.4,72963.9,,,,,,,
Jharkhand,Dec 00 -,7972,32988134,24.05,413.82,948,948,66.41,4250436.6,16.7,38.96,44.34,,1294,143.46,1.1,,33.2,,76.95,,5315,39081.3,713253.5,-1.7,2253,2616395.6,261046.2,228979.9,,,,1.84,1655,32.5,39.8
